epoch,accuracy,loss,val_accuracy,val_loss
0,0.9491416,0.1547497341846966,0.9833318,0.05352263855690337
1,0.9876929,0.04452629993044759,0.99420106,0.027867663228471454
2,0.99030983,0.04449235220721725,0.97956705,0.05564473542587626
3,0.9951549,0.016673150793651486,0.99532443,0.013689456087492738
4,0.99496055,0.018741618217235245,0.9965692,0.013635693521783994
5,0.99729335,0.009971199205334869,0.9972979,0.009806645003282871
6,0.99352497,0.020432533543473477,0.9972675,0.007731020419419653
7,0.9956783,0.013084250209516132,0.99799615,0.007560480843523333
8,0.9976223,0.007915044647356758,0.99775326,0.00844651083621805
9,0.9909379,0.038686967311436234,0.9976622,0.008094757134780648
10,0.9973232,0.008482536454749374,0.997814,0.0071931131982924685
11,0.99799615,0.006499472044229416,0.99635667,0.013004887832027108
12,0.9950353,0.016258968612613046,0.9920454,0.047185462460749304
13,0.9979812,0.00683332596120983,0.997814,0.007554131337897829
14,0.9924333,0.02897043137060013,0.9972068,0.009392857909459837
15,0.995125,0.016489756330078206,0.996721,0.010181913927658099
16,0.9962316,0.012418734027018862,0.9982087,0.006418622593263307
17,0.9974578,0.008419970288698883,0.99826944,0.006501316706805957
18,0.99777186,0.00657123434055496,0.9973282,0.010872880137506426
19,0.997069,0.009247321746545108,0.9979051,0.00873503030047775
20,0.9981756,0.005967845622644492,0.9980569,0.007398254007768663
21,0.99845976,0.004713041315556565,0.99839085,0.006853153943231074
22,0.9950802,0.0184075467838218,0.99635667,0.009801595636414463
23,0.9981009,0.0059236875178770515,0.9979051,0.008018428762053864
24,0.996755,0.012068522277343872,0.99799615,0.007679888228421703
25,0.99820554,0.005335905510086553,0.9983301,0.006709701633474334
26,0.997413,0.007862655751845186,0.99817836,0.007545981369044732
27,0.99799615,0.007119625946182795,0.9982998,0.0065519276846812795
28,0.99303144,0.027994947490530508,0.9974193,0.01080447076327342
29,0.99657553,0.013284301181377347,0.9979658,0.009330783711291759
30,0.9985345,0.0042333040229036055,0.9982998,0.006704222083233661
31,0.9984897,0.004652663669250131,0.9982087,0.008194123653348534
32,0.9976373,0.008023173202504341,0.99799615,0.007909244341335851
33,0.9984747,0.004506358870890631,0.99687284,0.010018734356036443
34,0.9987887,0.003446673903752281,0.9981176,0.010321989789073028
35,0.9952446,0.02584122096579891,0.9966603,0.009579882634048346
36,0.9985644,0.004183484196005896,0.99826944,0.006381606847753877
37,0.9987439,0.0034223218613709163,0.9984819,0.0057207446707801205
38,0.99829525,0.005380707315334985,0.9983605,0.006021804383581742
39,0.9972036,0.008742904302040978,0.99842125,0.009327045557620687
40,0.99825037,0.006034106560576341,0.99817836,0.006185089632470947
41,0.99842983,0.004665988391394992,0.99842125,0.007651820925874345
42,0.99845976,0.005410238897346344,0.99839085,0.005971608330773498
43,0.9965905,0.011429871981364064,0.99854267,0.007305328235192252
44,0.9986691,0.0037630863173738417,0.99787474,0.007604100112395777
45,0.9984897,0.004556342477983715,0.9986034,0.006297449250483151
46,0.99829525,0.00486196214653653,0.9985123,0.00828768314377372
47,0.99742794,0.00995713632109334,0.99799615,0.007638373500212907
48,0.9983551,0.005258518352478074,0.99826944,0.006872748985983783
49,0.9984149,0.00464195503978731,0.9984819,0.007430525564061012
